Site,Species,Treatment,Chamber,Date,Temp_u,Temp_sd,O2flux,Sensor,Depth_Start,Depth_End,pH,DO,Sal,Turb,Pres,A_Above_Bio,A_TSC,U_Leaf_Area,sd_Leaf_Area,ABR_Bio,Photoperiod_hours,rate_mg,rate,rate_hour,A_Above_Bio_m2,Cham_LA,m2_LA,A_Bio_rate_hour,LA_rate_hour,u_Light_Middle
Back River,Zm,Dark,16,7/6/2022,28.43122727,0.253333542,-0.022280238,13,63,94,8.015,9.165,20.955,7.19,759.55,2.927,15,19.8332,5.751530867,2.158717105,14.63222222,-4.809077998,-0.150283687,-9.017021247,91.46875,138.8324,4338.5125,-0.098580348,-0.064948969,233.3234782
Back River,Zm,Dark,18,7/6/2022,28.65613636,0.106313236,-0.019339303,12,58,88,8.015,9.165,20.955,7.19,759.55,3.279,31,14.78693333,6.341367039,9.454183267,14.63222222,-4.174291863,-0.130446621,-7.826797243,102.46875,221.804,6931.375,-0.076382285,-0.035286998,233.3234782
Back River,Zm,Light,1,7/6/2022,29.08845455,0.150016001,0.045562046,10,58,88,8.015,9.165,20.955,7.19,759.55,4.271,29,17.70506667,6.887958017,2.355763927,14.63222222,9.834339716,0.307323116,18.43938697,133.46875,513.4469333,16045.21667,0.138155088,0.035912936,233.3234782
Back River,Zm,Light,5,7/6/2022,28.68274545,0.309337897,0.041650712,2,60,90,8.015,9.165,20.955,7.19,759.55,5.251,35,14.61106667,4.079174417,0.794554455,14.63222222,8.990097843,0.280940558,16.85643346,164.09375,482.1652,15067.6625,0.102724409,0.034959872,233.3234782
Back River,Zm,Light,9,7/6/2022,28.88143636,0.268366398,0.013984883,4,63,94,8.015,9.165,20.955,7.19,759.55,2.992,36,16.69733333,7.143262947,2.165467626,14.63222222,3.018567017,0.094330219,5.659813157,93.5,250.46,7826.875,0.060532761,0.022597673,233.3234782
Browns Bay South,Rm,Dark,13,6/8/2022,25.12610909,0.292216501,-0.00206618,18,70,90,8.17,7.045,17.235,4.555,759.75,0.153,41,1.136133333,0.203777844,0.874285714,14.65472222,-0.445974522,-0.013936704,-0.836202229,4.78125,46.58146667,1455.670833,-0.174891969,-0.017951393,239.0678574
Browns Bay South,Rm,Dark,15,6/8/2022,25.06198182,0.336706552,-0.002560674,13,71,83,8.17,7.045,17.235,4.555,759.75,0.172,65,0.930933333,0.186222396,0.725738397,14.65472222,-0.552708622,-0.017272144,-1.036328666,5.375,60.51066667,1890.958333,-0.192805333,-0.01712638,239.0678574
Browns Bay South,Rm,Dark,19,6/8/2022,24.78547273,0.268828983,-0.002416596,15,76,89,8.17,7.045,17.235,4.555,759.75,0.199,36,1.228533333,0.183417504,0.537837838,14.65472222,-0.521610137,-0.016300317,-0.978019006,6.21875,44.2272,1382.1,-0.157269388,-0.022113519,239.0678574
Browns Bay South,Rm,Light,1,6/8/2022,25.09463636,0.375963246,0.037865782,17,76,89,8.17,7.045,17.235,4.555,759.75,0.865,84,1.3256,0.302878759,0.795768169,14.65472222,8.173139684,0.255410615,15.32463691,27.03125,111.3504,3479.7,0.566922984,0.137625342,239.0678574
Browns Bay South,Rm,Light,10,6/8/2022,25.38104545,0.390606336,0.024368632,3,71,83,8.17,7.045,17.235,4.555,759.75,0.201,46,1.109333333,0.130473132,0.569405099,14.65472222,5.259847415,0.164370232,9.862213903,6.28125,51.02933333,1594.666667,1.570103706,0.193265584,239.0678574
Browns Bay South,Rm,Light,6,6/8/2022,25.76488182,0.404778878,0.018659779,6,70,90,8.17,7.045,17.235,4.555,759.75,0.142,48,1.083866667,0.224145956,0.594142259,14.65472222,4.027620026,0.125863126,7.551787548,4.4375,52.0256,1625.8,1.701811278,0.145155223,239.0678574
Browns Bay South,Sediment,Dark,14,6/8/2022,24.78986364,0.259673983,-0.00061099,5,76,89,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,-0.13187912,-0.004121223,-0.24727335,NA,NA,NA,-0.24727335,-0.24727335,239.0678574
Browns Bay South,Sediment,Dark,17,6/8/2022,25.16057273,0.291573883,-0.000590632,1,70,90,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,-0.127484914,-0.003983904,-0.239034214,NA,NA,NA,-0.239034214,-0.239034214,239.0678574
Browns Bay South,Sediment,Dark,18,6/8/2022,24.97226364,0.303078204,-0.001690824,8,71,83,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,-0.364955825,-0.01140487,-0.684292172,NA,NA,NA,-0.684292172,-0.684292172,239.0678574
Browns Bay South,Sediment,Light,2,6/8/2022,25.16075455,0.343449773,0.006340222,7,76,89,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,1.368505153,0.042765786,2.565947163,NA,NA,NA,2.565947163,2.565947163,239.0678574
Browns Bay South,Sediment,Light,3,6/8/2022,25.41188182,0.373613688,0.009495975,12,71,83,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,2.049658796,0.064051837,3.843110243,NA,NA,NA,3.843110243,3.843110243,239.0678574
Browns Bay South,Sediment,Light,4,6/8/2022,25.57476364,0.387210369,0.008957612,9,70,90,8.17,7.045,17.235,4.555,759.75,0,0,0,NA,NA,14.65472222,1.933455697,0.060420491,3.625229432,NA,NA,NA,3.625229432,3.625229432,239.0678574
Browns Bay South,Zm,Dark,12,6/8/2022,25.16762727,0.24458202,-0.000139361,4,70,90,8.17,7.045,17.235,4.555,759.75,0.592,10,17.82533333,4.444710929,1.147286822,14.65472222,-0.030080437,-0.000940014,-0.05640082,18.5,178.2533333,5570.416667,-0.003048693,-0.000316408,239.0678574
Browns Bay South,Zm,Dark,16,6/8/2022,24.97117273,0.317574779,-0.009890369,14,71,83,8.17,7.045,17.235,4.555,759.75,1.317,38,10.02,1.381220992,1.137074517,14.65472222,-2.134786604,-0.066712081,-4.002724882,41.15625,200.4,6262.5,-0.097256793,-0.019973677,239.0678574
Browns Bay South,Zm,Dark,20,6/8/2022,24.72538182,0.248133213,-0.002341159,19,76,89,8.17,7.045,17.235,4.555,759.75,0.518,8,7.284,2.376265978,0.410459588,14.65472222,-0.50532752,-0.015791485,-0.9474891,16.1875,58.272,1821,-0.058532145,-0.016259766,239.0678574
Browns Bay South,Zm,Light,21,6/8/2022,25.56202727,0.378321825,0.018281112,16,71,83,8.17,7.045,17.235,4.555,759.75,0.563,14,4.752,2.782391571,1.716463415,14.65472222,3.945886531,0.123308954,7.398537245,17.59375,66.528,2079,0.420520767,0.111209374,239.0678574
Browns Bay South,Zm,Light,5,6/8/2022,25.78536364,0.379570707,0.011458023,2,70,90,8.17,7.045,17.235,4.555,759.75,0.624,15,4.369333333,1.45768636,0.866666667,14.65472222,2.473157061,0.077286158,4.63716949,19.5,65.54,2048.125,0.237803564,0.070753273,239.0678574
Browns Bay South,Zm,Light,9,6/8/2022,25.05675455,0.32862081,0.038062485,20,76,89,8.17,7.045,17.235,4.555,759.75,1.403,22,6.868,3.533123264,0.8228739,14.65472222,8.215597142,0.256737411,15.40424464,43.84375,151.096,4721.75,0.35134414,0.101950049,239.0678574
Guinea Marsh,ASU,Dark,11,7/5/2022,26.76026966,0.072333471,-0.00570502,1,86,97,7.99,7.1,20.025,1.56,763.85,0.049,16,25,NA,NA,14.64472222,-1.231400028,-0.038481251,-2.308875052,1.53125,400,12500,-1.507836769,-0.005772188,124.1463498
Guinea Marsh,ASU,Dark,11,8/18/2022,24.94652222,0.124370616,-0.008180927,18,112,118,8.01,6.735,22.435,2.17,761.3,0.025,16,25,NA,NA,13.5025,-1.765812118,-0.055181629,-3.310897721,0.78125,400,12500,-4.237949083,-0.008277244,NA
Guinea Marsh,ASU,Dark,12,6/6/2022,23.144625,0.136443915,-0.00110125,11,116,129,8.46,8.615,16.445,0.805,763.5,0.058,16,25,NA,NA,14.63,-0.237699358,-0.007428105,-0.445686297,1.8125,400,12500,-0.245895888,-0.001114216,187.9100355
Guinea Marsh,ASU,Dark,12,7/5/2022,26.73667816,0.068926063,-0.0026462,17,86,97,7.99,7.1,20.025,1.56,763.85,0.027,16,25,NA,NA,14.64472222,-0.571169072,-0.017849034,-1.07094201,0.84375,400,12500,-1.269264605,-0.002677355,124.1463498
Guinea Marsh,ASU,Dark,14,7/19/2022,27.76473256,0.114209758,-0.002321868,4,82,87,8.035,7.14,21.025,2.42,758.6,0.021,16,25,NA,NA,14.40027778,-0.501163689,-0.015661365,-0.939681916,0.65625,400,12500,-1.431896254,-0.002349205,138.2744228
Guinea Marsh,ASU,Dark,14,8/5/2022,28.50126136,0.042093081,-0.00936788,3,84,92,8.13,7.055,19.88,1.855,765.9,0.005,16,25,NA,NA,13.93777778,-2.022010007,-0.063187813,-3.791268763,0.15625,400,12500,-24.26412008,-0.009478172,344.7169465
Guinea Marsh,ASU,Dark,15,6/6/2022,23.13682022,0.197213,-0.009940663,18,116,129,8.46,8.615,16.445,0.805,763.5,0.17,16,25,NA,NA,14.63,-2.145642307,-0.067051322,-4.023079326,5.3125,400,12500,-0.75728552,-0.010057698,187.9100355
Guinea Marsh,ASU,Dark,15,6/20/2022,21.92690541,0.217402043,-0.00294,11,90,106,8.005,8.08,18.975,0.945,767.1,0.048,16,25,NA,NA,14.72972222,-0.634584348,-0.019830761,-1.189845652,1.5,400,12500,-0.793230435,-0.002974614,175.8185702
Guinea Marsh,ASU,Dark,15,8/5/2022,28.53065,0.05071835,-0.004600642,5,84,92,8.13,7.055,19.88,1.855,765.9,0.045,16,25,NA,NA,13.93777778,-0.993025475,-0.031032046,-1.861922766,1.40625,400,12500,-1.324033967,-0.004654807,344.7169465
Guinea Marsh,ASU,Dark,15,8/18/2022,24.93534091,0.119317493,-0.007130056,16,112,118,8.01,6.735,22.435,2.17,761.3,0.326,16,25,NA,NA,13.5025,-1.538987045,-0.048093345,-2.885600709,10.1875,400,12500,-0.283249149,-0.007214002,NA
Guinea Marsh,ASU,Dark,16,6/20/2022,22.1287625,0.208147784,-0.001247852,12,90,106,8.005,8.08,18.975,0.945,767.1,0.222,16,25,NA,NA,14.72972222,-0.269342573,-0.008416955,-0.505017324,6.9375,400,12500,-0.07279529,-0.001262543,175.8185702
Guinea Marsh,ASU,Dark,16,7/19/2022,27.76273118,0.115404877,-0.001568073,10,82,87,8.035,7.14,21.025,2.42,758.6,0.014,16,25,NA,NA,14.40027778,-0.338460708,-0.010576897,-0.634613828,0.4375,400,12500,-1.450545893,-0.001586535,138.2744228
Guinea Marsh,ASU,Dark,16,9/5/2022,27.30197619,0.138299916,0,16,90,101,8.19,6.97,21.665,4.2,763.45,0.075,16,25,NA,NA,12.83333333,0,0,0,2.34375,400,12500,0,0,201.5242263
Guinea Marsh,ASU,Dark,17,8/5/2022,28.51559375,0.054111888,-0.006845704,14,84,92,8.13,7.055,19.88,1.855,765.9,0.053,16,25,NA,NA,13.93777778,-1.477610942,-0.046175342,-2.770520517,1.65625,400,12500,-1.672767104,-0.006926301,344.7169465
Guinea Marsh,ASU,Dark,17,8/18/2022,24.95626667,0.113048443,-0.005493163,7,112,118,8.01,6.735,22.435,2.17,761.3,0.063,16,25,NA,NA,13.5025,-1.185671856,-0.037052246,-2.223134731,1.96875,400,12500,-1.129211292,-0.005557837,NA
Guinea Marsh,ASU,Dark,17,9/5/2022,27.33007317,0.134488035,-0.001858305,12,90,101,8.19,6.97,21.665,4.2,763.45,0.038,16,25,NA,NA,12.83333333,-0.401105872,-0.012534558,-0.752073509,1.1875,400,12500,-0.63332506,-0.001880184,201.5242263
Guinea Marsh,ASU,Dark,18,6/6/2022,23.01650649,0.180763776,-0.003064799,12,116,129,8.46,8.615,16.445,0.805,763.5,0.079,16,25,NA,NA,14.63,-0.661521589,-0.02067255,-1.24035298,2.46875,400,12500,-0.50242146,-0.003100882,187.9100355
Guinea Marsh,ASU,Dark,18,7/19/2022,27.77394318,0.107009008,-0.007183748,5,82,87,8.035,7.14,21.025,2.42,758.6,0.006,16,25,NA,NA,14.40027778,-1.55057615,-0.048455505,-2.907330281,0.1875,400,12500,-15.5057615,-0.007268326,138.2744228
Guinea Marsh,ASU,Dark,18,9/5/2022,27.33656667,0.135692899,-0.00116954,11,90,101,8.19,6.97,21.665,4.2,763.45,0.074,16,25,NA,NA,12.83333333,-0.252439399,-0.007888731,-0.473323873,2.3125,400,12500,-0.204680594,-0.00118331,201.5242263
Guinea Marsh,ASU,Dark,19,7/5/2022,26.7645618,0.067301384,-0.004915581,11,86,97,7.99,7.1,20.025,1.56,763.85,0.055,16,25,NA,NA,14.64472222,-1.061003508,-0.03315636,-1.989381577,1.71875,400,12500,-1.157458372,-0.004973454,124.1463498
Guinea Marsh,ASU,Dark,20,6/20/2022,22.19159722,0.196780686,-0.001982348,18,90,106,8.005,8.08,18.975,0.945,767.1,0.139,16,25,NA,NA,14.72972222,-0.42787998,-0.013371249,-0.802274962,4.34375,400,12500,-0.184696394,-0.002005687,175.8185702
Guinea Marsh,ASU,Light,1,6/20/2022,22.53850633,0.251259386,0.025046793,2,90,106,8.005,8.08,18.975,0.945,767.1,0.332,16,25,NA,NA,14.72972222,5.406225138,0.168944536,10.13667213,10.375,400,12500,0.977028639,0.02534168,175.8185702
Guinea Marsh,ASU,Light,1,7/19/2022,27.89292553,0.145516229,0.010977941,17,82,87,8.035,7.14,21.025,2.42,758.6,0.006,16,25,NA,NA,14.40027778,2.369533617,0.074047926,4.442875531,0.1875,400,12500,23.69533617,0.011107189,138.2744228
Guinea Marsh,ASU,Light,1,8/5/2022,28.58211494,0.082719254,0.00469192,4,84,92,8.13,7.055,19.88,1.855,765.9,0.025,16,25,NA,NA,13.93777778,1.012727537,0.031647736,1.898864132,0.78125,400,12500,2.430546089,0.00474716,344.7169465
Guinea Marsh,ASU,Light,10,8/5/2022,28.59089796,0.114424647,0.0076308,8,84,92,8.13,7.055,19.88,1.855,765.9,0.041,16,25,NA,NA,13.93777778,1.647070022,0.051470938,3.08825629,1.28125,400,12500,2.410346373,0.007720641,344.7169465
Guinea Marsh,ASU,Light,2,6/6/2022,23.51653086,0.191860176,0.011298777,8,116,129,8.46,8.615,16.445,0.805,763.5,0.177,16,25,NA,NA,14.63,2.438784431,0.076212013,4.572720808,5.53125,400,12500,0.826706587,0.011431802,187.9100355
Guinea Marsh,ASU,Light,21,8/5/2022,28.59730208,0.089034484,0.003046738,1,84,92,8.13,7.055,19.88,1.855,765.9,0.022,16,25,NA,NA,13.93777778,0.657623242,0.020550726,1.233043578,0.6875,400,12500,1.793517932,0.003082609,344.7169465
Guinea Marsh,ASU,Light,24,8/18/2022,25.29196774,0.208227637,0.020268996,12,112,118,8.01,6.735,22.435,2.17,761.3,0.062,16,25,NA,NA,13.5025,4.3749615,0.136717547,8.203052812,1.9375,400,12500,4.23383371,0.020507632,NA
Guinea Marsh,ASU,Light,24,9/5/2022,27.54004706,0.121002352,0.012904213,8,90,101,8.19,6.97,21.665,4.2,763.45,0.047,16,25,NA,NA,12.83333333,2.785309812,0.087040932,5.222455897,1.46875,400,12500,3.555714654,0.01305614,201.5242263
Guinea Marsh,ASU,Light,4,6/6/2022,23.58803896,0.19666492,0.006815856,13,116,129,8.46,8.615,16.445,0.805,763.5,0.003,16,25,NA,NA,14.63,1.471168435,0.045974014,2.758440816,0.09375,400,12500,29.42336871,0.006896102,187.9100355
Guinea Marsh,ASU,Light,4,6/20/2022,22.76235714,0.215845139,0.014115205,10,90,106,8.005,8.08,18.975,0.945,767.1,0.025,16,25,NA,NA,14.72972222,3.046696459,0.095209264,5.71255586,0.78125,400,12500,7.3120715,0.01428139,175.8185702
Guinea Marsh,ASU,Light,4,9/5/2022,27.52386022,0.1432562,0.029061218,6,90,101,8.19,6.97,21.665,4.2,763.45,0.102,16,25,NA,NA,12.83333333,6.272718629,0.196022457,11.76134743,3.1875,400,12500,3.689834488,0.029403369,201.5242263
Guinea Marsh,ASU,Light,5,7/19/2022,27.96584615,0.149189285,0.010204364,3,82,87,8.035,7.14,21.025,2.42,758.6,0.017,16,25,NA,NA,14.40027778,2.202561008,0.068830031,4.129801889,0.53125,400,12500,7.773744732,0.010324505,138.2744228
Guinea Marsh,ASU,Light,6,6/6/2022,23.57994505,0.246651863,0.008809474,20,116,129,8.46,8.615,16.445,0.805,763.5,0.245,16,25,NA,NA,14.63,1.901480986,0.059421281,3.565276849,7.65625,400,12500,0.465668813,0.008913192,187.9100355
Guinea Marsh,ASU,Light,6,7/5/2022,26.83012857,0.058635677,0.00643387,4,86,97,7.99,7.1,20.025,1.56,763.85,0.001,16,25,NA,NA,14.64472222,1.388718731,0.04339746,2.603847621,0.03125,400,12500,83.32312387,0.006509619,124.1463498
Guinea Marsh,ASU,Light,6,8/18/2022,25.27527473,0.1673261,0.01277315,13,112,118,8.01,6.735,22.435,2.17,761.3,0.046,16,25,NA,NA,13.5025,2.757020502,0.086156891,5.16941344,1.4375,400,12500,3.596113698,0.012923534,NA
Guinea Marsh,ASU,Light,6,9/5/2022,27.50014118,0.152987017,0.014690829,14,90,101,8.19,6.97,21.665,4.2,763.45,0.136,16,25,NA,NA,12.83333333,3.170941986,0.099091937,5.945516223,4.25,400,12500,1.398944994,0.014863791,201.5242263
Guinea Marsh,ASU,Light,7,7/5/2022,26.88121951,0.095935038,0.007573007,14,86,97,7.99,7.1,20.025,1.56,763.85,0.14,16,25,NA,NA,14.64472222,1.634595696,0.051081115,3.064866929,4.375,400,12500,0.700541012,0.007662167,124.1463498
Guinea Marsh,ASU,Light,7,7/19/2022,27.91870787,0.14193446,0.008579471,20,82,87,8.035,7.14,21.025,2.42,758.6,0.026,16,25,NA,NA,14.40027778,1.85183599,0.057869875,3.47219248,0.8125,400,12500,4.273467668,0.008680481,138.2744228
Guinea Marsh,ASU,Light,7,8/18/2022,25.20628049,0.169166969,0.021639312,6,112,118,8.01,6.735,22.435,2.17,761.3,0.062,16,25,NA,NA,13.5025,4.670737217,0.145960538,8.757632281,1.9375,400,12500,4.520068274,0.021894081,NA
Guinea Marsh,ASU,Light,9,6/20/2022,22.52149383,0.297729748,0.030948734,13,90,106,8.005,8.08,18.975,0.945,767.1,0.375,16,25,NA,NA,14.72972222,6.680129439,0.208754045,12.5252427,11.71875,400,12500,1.06882071,0.031313107,175.8185702
Guinea Marsh,ASU,Light,9,7/5/2022,26.91294505,0.096302344,0.027497054,6,86,97,7.99,7.1,20.025,1.56,763.85,0.303,16,25,NA,NA,14.64472222,5.93510167,0.185471927,11.12831563,9.46875,400,12500,1.175267657,0.027820789,124.1463498
Guinea Marsh,Rm,Dark,11,6/6/2022,23.40127273,0.214624311,-0.002743159,16,111,134,8.46,8.615,16.445,0.805,763.5,0.351,51,1.6245,0.513287184,0.748400853,14.63,-0.592097219,-0.018503038,-1.110182286,10.96875,82.8495,2589.046875,-0.1012132,-0.013399988,187.9100355
Guinea Marsh,Rm,Dark,11,8/5/2022,28.83317273,0.247649903,-0.007181961,12,62,111,8.13,7.055,19.88,1.855,765.9,0.497,68,1.446666667,0.217301195,1.995983936,13.93777778,-1.550190284,-0.048443446,-2.906606783,15.53125,98.37333333,3074.166667,-0.187145708,-0.029546694,344.7169465
Guinea Marsh,Rm,Dark,11,9/5/2022,27.75042727,0.123590509,-0.000311494,9,83,124,8.19,6.97,21.665,4.2,763.45,0.128,35,0.788666667,0.414734798,0.468864469,12.83333333,-0.067234515,-0.002101079,-0.126064716,4,27.60333333,862.6041667,-0.031516179,-0.004567011,201.5242263
Guinea Marsh,Rm,Dark,12,7/19/2022,28.13302727,0.209699849,-0.004927564,16,73,102,8.035,7.14,21.025,2.42,758.6,0.39,42,1.447066667,0.390301646,2.37804878,14.40027778,-1.063589971,-0.033237187,-1.994231196,12.1875,60.7768,1899.275,-0.163629226,-0.032812376,138.2744228
Guinea Marsh,Rm,Dark,12,8/5/2022,28.68264545,0.191006152,-0.006218632,7,84,103,8.13,7.055,19.88,1.855,765.9,0.567,114,1.583333333,0.405646339,1.593406593,13.93777778,-1.34226068,-0.041945646,-2.516738776,17.71875,171,5343.75,-0.142038167,-0.014717771,344.7169465
Guinea Marsh,Rm,Dark,12,9/19/2022,25.99224545,0.151453277,-0.004454358,16,74,94,8.3,7.865,23.325,8.805,761.65,0.189,26,1.2308,0.464874668,0.326989619,12.28638889,-0.961450817,-0.030045338,-1.802720282,5.90625,32.0008,1000.025,-0.305222482,-0.0563336,124.5938238
Guinea Marsh,Rm,Dark,13,8/18/2022,25.08080909,0.114057566,-0.005307748,1,106,121,8.01,6.735,22.435,2.17,761.3,0.443,98,1.772666667,0.33567558,0.865234375,13.5025,-1.145650791,-0.035801587,-2.148095232,13.84375,173.7213333,5428.791667,-0.15516715,-0.012365178,NA
Guinea Marsh,Rm,Dark,13,9/5/2022,27.68600909,0.073431925,-0.010485988,13,81,105,8.19,6.97,21.665,4.2,763.45,0.51,57,1.4784,0.318307309,0.377218935,12.83333333,-2.263348017,-0.070729626,-4.243777533,15.9375,84.2688,2633.4,-0.266276237,-0.050360009,201.5242263
Guinea Marsh,Rm,Dark,14,6/20/2022,22.46256364,0.12390767,-0.001331782,14,79,129,8.005,8.08,18.975,0.945,767.1,0.373,95,1.190666667,0.096103119,0.625838926,14.72972222,-0.287458477,-0.008983077,-0.538984644,11.65625,113.1133333,3534.791667,-0.046239969,-0.004764997,175.8185702
Guinea Marsh,Rm,Dark,15,7/5/2022,26.85118182,0.132061299,-0.001630274,9,90,126,7.99,7.1,20.025,1.56,763.85,0.069,38,0.439125,0.154218838,0.552,14.64472222,-0.351886481,-0.010996453,-0.659787153,2.15625,16.68675,521.4609375,-0.305988245,-0.039539584,124.1463498
Guinea Marsh,Rm,Dark,16,5/23/2022,23.55339091,0.103376137,-0.001938659,16,96,118,NA,8.5,17.385,0.875,766.05,0.426,55,2.424,0.512132795,0.464547677,14.37166667,-0.418449828,-0.013076557,-0.784593428,13.3125,128.472,4014.75,-0.058936596,-0.006107116,48.48812047
Guinea Marsh,Rm,Dark,16,6/6/2022,23.48405455,0.21382827,-0.000839969,9,111,134,8.46,8.615,16.445,0.805,763.5,0.458,40,1.585333333,0.389345727,0.220083682,14.63,-0.181303037,-0.00566572,-0.339943194,14.3125,58.65733333,1833.041667,-0.02375149,-0.005795408,187.9100355
Guinea Marsh,Rm,Dark,16,7/5/2022,26.98806364,0.091585252,-0.003213233,8,84,122,7.99,7.1,20.025,1.56,763.85,0.364,71,0,NA,1.277192982,14.64472222,-0.693560169,-0.021673755,-1.300425317,11.375,NA,NA,-0.114323105,-1.300425317,124.1463498
Guinea Marsh,Rm,Dark,16,8/5/2022,28.78303636,0.233923728,0,16,59,94,8.13,7.055,19.88,1.855,765.9,0.157,13,1.341333333,0.286800744,1.32,13.93777778,0,0,0,4.90625,14.75466667,461.0833333,0,0,344.7169465
Guinea Marsh,Rm,Dark,16,8/18/2022,25.0327,0.149892289,-0.003558781,19,101,119,8.01,6.735,22.435,2.17,761.3,0.568,67,1.935066667,0.727588921,1.385416667,13.5025,-0.768145041,-0.024004533,-1.440271951,17.75,129.6494667,4051.545833,-0.081142082,-0.011108969,NA
Guinea Marsh,Rm,Dark,16,9/19/2022,25.67229545,0.095131507,-0.00133447,15,84,101,8.3,7.865,23.325,8.805,761.65,0.26,9,0.827733333,0.093932701,0.597222222,12.28638889,-0.288038694,-0.009001209,-0.540072551,8.125,7.4496,232.8,-0.066470468,-0.072496852,124.5938238
Guinea Marsh,Rm,Dark,17,7/19/2022,28.17038182,0.208309622,-0.003174601,8,74,103,8.035,7.14,21.025,2.42,758.6,0.267,51,0.896533333,0.193314646,1.302439024,14.40027778,-0.685221692,-0.021413178,-1.284790672,8.34375,45.7232,1428.85,-0.153982403,-0.028099317,138.2744228
